CODE,Omschrijving
15331130-7,"Bonen, erwten, paprika's, tomaten en andere groenten"
15331131-4,Verwerkte bonen
15331132-1,Verwerkte erwten
15331133-8,Spliterwten
15331134-5,Verwerkte tomaten
15331135-2,Verwerkte paddestoelen
15331136-9,Verwerkte paprika's
15331137-6,Taugé
15331138-3,Truffels
15331140-0,Bladgroenten en koolgewassen
15331142-4,Verwerkte kool
15331150-3,Verwerkte peulvruchten
15331170-9,Ingevroren groenten
15331400-1,Geconserveerde en/of ingeblikte groenten
15331410-4,Bonen in tomatensaus
15331411-1,Witte bonen in tomatensaus
15331420-7,Geconserveerde tomaten
15331423-8,Ingeblikte tomaten
15331425-2,Tomatenpuree
15331427-6,Geconcentreerde tomatenpuree
15331428-3,Tomatensaus
15331430-0,Ingeblikte champignons
15331450-6,Verwerkte olijven
15331460-9,Ingeblikte groenten
15331461-6,Ingeblikte zuurkool
15331462-3,Ingeblikte erwten
15331463-0,Ingeblikte gedopte bonen
15331464-7,Ingeblikte hele bonen
15331465-4,Ingeblikte asperges
15331466-1,Ingeblikte olijven
15331470-2,Suikermaïs
15331480-5,Tijdelijk geconserveerde groenten
15331500-2,In azijn geconserveerde groenten
15332000-4,Verwerkte vruchten en noten
15332100-5,Verwerkte vruchten
15332140-7,Verwerkte appelen
15332150-0,Verwerkte peren
15332160-3,Verwerkte bananen
15332170-6,Rabarber
15332180-9,Meloenen
15332200-6,Jams en marmelades; vruchtengelei; vruchten- of notenmoes en -pasta
15332230-5,Marmelades
15332231-2,Sinaasappelmarmelade
15332232-9,Citroenmarmelade
15332240-8,Vruchtengelei
15332250-1,Vruchtenpasta's
15332260-4,Notenpasta's
15332261-1,Pindakaas
15332270-7,Vruchtenmoes
15332290-3,Jam
15332291-0,Abrikozenjam
15332292-7,Bramenjam
15332293-4,Zwartebessenjam
15332294-1,Kersenjam
15332295-8,Frambozenjam
15332296-5,Aardbeienjam
15332300-7,Verwerkte noten
15332310-0,Geroosterde of gezouten noten
15332400-8,Geconserveerde vruchten
15332410-1,Gedroogde vruchten
15332411-8,Behandelde krenten
15332412-5,Verwerkte druiven
15332419-4,Sultanarozijnen
15333000-1,Plantaardige bijproducten
15400000-2,Dierlijke of plantaardige oliën en vetten
15410000-5,Ruwe dierlijke of plantaardige oliën en vetten
15411000-2,Dierlijke of plantaardige oliën
15411100-3,Plantaardige oliën
15411110-6,Olijfolie
15411120-9,Sesamolie
15411130-2,Aardnotenolie
15411140-5,Kokosolie
15411200-4,Spijsolie
15411210-7,Frituurolie
15412000-9,Vetten
15412100-0,Dierlijke vetten
15412200-1,Plantaardige vetten
15413000-6,Vaste residuen van plantaardige vetten of oliën
15413100-7,Perskoek
15420000-8,Geraffineerde oliën en vetten
15421000-5,Geraffineerde oliën
15422000-2,Geraffineerde vetten
15423000-9,Gehydrogeneerde of veresterde oliën of vetten
15424000-6,Plantaardige wassen
15430000-1,Spijsvetten
15431000-8,Margarine en dergelijke bereidingen
15431100-9,Margarine
15431110-2,Vloeibare margarine
15431200-0,Margarine met verlaagd vetgehalte en halvarine
15500000-3,Zuivelproducten
15510000-6,Melk en room
15511000-3,Melk
15511100-4,Gepasteuriseerde melk
15511200-5,Gesteriliseerde melk
15511210-8,UHT-melk
15511300-6,Magere melk
15511400-7,Halfvolle melk
15511500-8,Volle melk
15511600-9,Gecondenseerde melk
15511700-0,Melkpoeder
15512000-0,Room
15512100-1,Magere room
15512200-2,Volvette room
15512300-3,Dikke room
15512900-9,Slagroom
15530000-2,Boter
15540000-5,Kaasproducten
15541000-2,Tafelkaas
15542000-9,Verse kaas
15542100-0,Cottage cheese
15542200-1,Zachte kaas
15542300-2,Fetakaas
15543000-6,"Geraspte, poeder-, blauwe aderkaas en andere kaas"
15543100-7,Blauwe aderkaas
15543200-8,Cheddar
15543300-9,Geraspte kaas
15543400-0,Parmezaanse kaas
15544000-3,Harde kaas
15545000-0,Smeerkaas
15550000-8,Diverse zuivelproducten
15551000-5,Yoghurt en andere gefermenteerde melk
15551300-8,Yoghurt
15551310-1,Yoghurt zonder smaakstoffen
15551320-4,Yoghurt met smaakstoffen
15551500-0,Karnemelk
15552000-2,Caseïne
15553000-9,Lactose of lactosestroop
15554000-6,Wei
15555000-3,Roomijs en aanverwante producten
15555100-4,Roomijs
15555200-5,Sorbet
15600000-4,"Graanmalerijproducten, zetmeel en zetmeelproducten"
15610000-7,Graanmalerijproducten
15611000-4,Gepelde rijst
15612000-1,Bloem van granen of plantaardige bloem en aanverwante producten
15612100-2,Tarwebloem
15612110-5,Volkorenbloem
15612120-8,Broodbloem
15612130-1,Gewoon bakmeel
15612150-7,Bakmeel
15612190-9,Zelfrijzend bakmeel
15612200-3,Granenbloem
15612210-6,Maïsmeel
15612220-9,Rijstmeel
15612300-4,Plantaardige bloem en meel
15612400-5,Mixen voor de bereiding van bakkerswaren
15612410-8,Cakemixen
15612420-1,Bakmixen
15612500-6,Bakkerijproducten
15613000-8,Graankorrelproducten
15613100-9,Gemalen haver
15613300-1,Ontbijtgranen
15613310-4,Bereide ontbijtgranen
15613311-1,Cornflakes
15613313-5,Muesli of dergelijke
15613319-7,Gepofte tarwe
15613380-5,Havermout
15614000-5,Verwerkte rijst
15614100-6,Langkorrelige rijst
15614200-7,Geslepen rijst
15614300-8,Breukrijst
15615000-2,Zemelen
15620000-0,Zetmeel en zetmeelproducten
15621000-7,Maïsolie
15622000-4,Glucose en glucoseproducten; fructose en fructoseproducten
15622100-5,Glucose en glucoseproducten
15622110-8,Glucose
15622120-1,Glucosestroop
15622300-7,Fructose en fructoseproducten
15622310-0,Fructose
15622320-3,Fructosebereidingen
15622321-0,Fructoseoplossingen
15622322-7,Fructosestroop
15623000-1,Zetmeel
15624000-8,Tapioca
15625000-5,Griesmeel
15626000-2,Custardpoeder
15700000-5,Diervoeders
15710000-8,Bereide voeders voor vee en andere dieren
15711000-5,Visvoer
15712000-2,Droogvoer
15713000-9,Voeders voor huisdieren
